Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
110/2026 - DP-CAARAPO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;;MS;CAARAPÓ;5002407;2026;26/01/2026;11:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;PARDA;39.0
110/2026 - DP-CAARAPO;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;;MS;CAARAPÓ;5002407;2026;26/01/2026;11:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;36.0
91/2026 - DAM-DOURADOS;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;JARDIM AGUA BOA;MS;DOURADOS;5003702;2026;26/01/2026;10:24:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;BRANCA;25.0
91/2026 - DAM-DOURADOS;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;JARDIM AGUA BOA;MS;DOURADOS;5003702;2026;26/01/2026;10:24:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;25.0
3/2026 - DAM-BATAGUASSU;FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA;VIOLENCIA DOMESTICA, FATOS TIPICOS, FEMINICIDIO NA FORMA TENTADA;JARDIM SANTA MARIA;MS;BATAGUASSU;5001904;2026;26/01/2026;10:01:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;34.0
3/2026 - DAM-BATAGUASSU;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;JARDIM SANTA MARIA;MS;BATAGUASSU;5001904;2026;26/01/2026;10:01:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;34.0
3/2026 - DAM-BATAGUASSU;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;JARDIM SANTA MARIA;MS;BATAGUASSU;5001904;2026;26/01/2026;10:01:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;BRANCA;21.0
658/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;JARDIM SAO CONRADO;MS;CAMPO GRANDE;5002704;2026;26/01/2026;09:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;40.0
658/2026 - 1DEAM;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;JARDIM SAO CONRADO;MS;CAMPO GRANDE;5002704;2026;26/01/2026;09:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;38.0
654/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;;MS;CAMPO GRANDE;5002704;2026;26/01/2026;08:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR COMPLETO;BRANCA;39.0
654/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;;MS;CAMPO GRANDE;5002704;2026;26/01/2026;08:00:00;AUTOR;MASCULINO;BRASILEIRO(A);SUPERIOR COMPLETO;BRANCA;49.0
41/2026 - DP-SONORA;VIOLENCIA PSICOLOGICA CONTRA A MULHER (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA;CENTRO;MS;SONORA;5007935;2026;26/01/2026;08:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;27.0
41/2026 - DP-SONORA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CENTRO;MS;SONORA;5007935;2026;26/01/2026;08:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;31.0
41/2026 - DP-SONORA;VIOLENCIA PSICOLOGICA CONTRA A MULHER (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA;CENTRO;MS;SONORA;5007935;2026;26/01/2026;08:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;31.0
41/2026 - DP-SONORA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;CENTRO;MS;SONORA;5007935;2026;26/01/2026;08:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;27.0
